Data	Otwarcie	Najwyzszy	Najnizszy	Srednia	Zamkniecie	Wolumen	Srednia_por
2017-08-14	70.7	71.93	70.0	70.965	70.7	1501	70.965
2017-08-16	71.0	71.79	70.81	71.30000000000001	70.83	742	71.30000000000001
2017-08-17	70.99	70.99	69.5	70.245	69.5	3523	70.245
2017-08-18	69.6	70.0	69.6	69.8	70.0	4372	69.8
2017-08-21	70.5	71.0	69.82	70.41	71.0	10037	70.41
2017-08-22	71.0	72.0	70.01	71.005	72.0	2978	71.005
2017-08-23	72.0	72.5	72.0	72.25	72.0	618	72.25
2017-08-24	71.0	73.4	70.5	71.95	73.4	63933	71.95
2017-08-25	73.0	73.0	71.07	72.035	71.07	1827	72.035
2017-08-28	70.55	73.37	70.0	71.685	73.37	7521	71.685
2017-08-29	73.0	73.0	71.62	72.31	72.99	6730	72.31
2017-08-30	72.95	74.7	72.06	73.38	74.02	7146	73.38
2017-08-31	74.02	77.1	73.41	75.255	76.0	10683	75.255
2017-09-01	77.5	77.78	75.01	76.39500000000001	75.01	7445	76.39500000000001
2017-09-04	74.45	74.45	73.52	73.985	74.45	1780	73.985
2017-09-05	73.52	73.94	72.3	73.12	73.1	1962	73.12
2017-09-06	72.06	72.5	71.74	72.12	72.5	3521	72.12
2017-09-07	72.5	72.5	71.0	71.75	72.5	1440	71.75
2017-09-08	71.7	73.4	70.81	72.105	72.45	3067	72.105
2017-09-11	72.5	72.5	71.12	71.81	71.98	2266	71.81
2017-09-12	71.9	71.9	70.71	71.305	71.32	5001	71.305
2017-09-13	71.7	71.7	70.13	70.91499999999999	70.13	57468	70.91499999999999
2017-09-14	70.13	70.13	67.52	68.82499999999999	67.59	45357	68.82499999999999
2017-09-15	67.6	72.1	67.45	69.775	72.1	283835	69.775
2017-09-18	72.5	72.5	70.03	71.265	71.0	37141	71.265
2017-09-19	69.15	71.0	69.15	70.075	71.0	3679	70.075
2017-09-20	70.51	71.0	69.81	70.405	71.0	2288	70.405
2017-09-21	71.5	71.5	69.82	70.66	70.9	2863	70.66
2017-09-22	70.9	71.0	69.51	70.255	71.0	5858	70.255
2017-09-25	70.6	71.51	70.41	70.96000000000001	70.58	681	70.96000000000001
2017-09-26	70.58	71.7	70.03	70.86500000000001	71.0	2136	70.86500000000001
2017-09-27	70.9	72.48	70.11	71.295	72.48	12314	71.295
2017-09-28	72.49	72.78	72.02	72.4	72.75	4534	72.4
2017-09-29	72.75	72.75	72.02	72.38499999999999	72.75	6967	72.38499999999999
2017-10-02	72.75	73.0	71.56	72.28	73.0	2642	72.28
2017-10-03	73.73	73.73	72.37	73.05000000000001	72.89	889	73.05000000000001
2017-10-04	72.89	73.49	72.0	72.745	73.22	1009	72.745
2017-10-05	73.11	73.11	71.45	72.28	72.89	953	72.28
2017-10-06	72.89	72.89	71.36	72.125	72.5	2349	72.125
2017-10-09	73.0	73.0	71.65	72.325	73.0	1804	72.325
2017-10-10	73.0	74.0	72.7	73.35	74.0	1812	73.35
2017-10-11	74.0	74.24	73.2	73.72	74.0	2566	73.72
2017-10-12	73.7	73.9	73.15	73.525	73.21	719	73.525
2017-10-13	72.81	72.95	72.02	72.485	72.44	1735	72.485
2017-10-16	74.25	74.25	72.06	73.155	72.97	330	73.155
2017-10-17	72.97	72.97	71.15	72.06	72.14	1855	72.06
2017-10-18	72.04	73.09	71.01	72.05000000000001	71.37	1548	72.05000000000001
2017-10-19	73.57	73.57	69.1	71.335	70.95	4840	71.335
2017-10-20	69.51	71.7	68.42	70.06	68.94	7140	70.06
2017-10-23	69.2	69.2	67.61	68.405	68.38	2963	68.405
2017-10-24	66.0	66.0	60.3	63.15	63.25	179561	63.15
2017-10-25	62.56	65.0	61.01	63.004999999999995	65.0	14087	63.004999999999995
2017-10-26	66.52	66.6	64.9	65.75	64.9	4076	65.75
2017-10-27	65.0	66.5	65.0	65.75	66.5	914	65.75
2017-10-30	66.5	67.4	66.31	66.855	66.76	1253	66.855
2017-10-31	67.34	67.34	65.31	66.325	66.52	1637	66.325
2017-11-02	66.4	66.4	64.6	65.5	64.65	2889	65.5
